expt_name,subjectID,order,age,iswomen,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
dlpfc,10,1,25,0,1,1,10,1,52,60,49,59,57,62,58,59,55,56,46,67,1,1,1,2,2,1,2,2,1,2,,,,,0.9419222,0.6948789,0.5038459,0.408132,0.5179746,0.5179746
dlpfc,10,1,25,0,1,2,5,3,60,72,70,65,81,65,77,,,,,,2,2,2,1,2,,,,,,,,,,0.8136692,,,,,
dlpfc,10,1,25,0,1,3,5,2,64,60,60,64,67,69,58,,,,,,2,2,1,1,2,,,,,,,,,,0.3433737,,,,,
dlpfc,10,1,25,0,1,4,5,3,48,60,52,55,63,85,61,,,,,,1,2,2,2,2,,,,,,,,,,1.2754035,,,,,
dlpfc,10,1,25,0,1,5,5,2,60,80,82,47,69,83,89,,,,,,2,1,1,2,2,,,,,,,,,,0.9551537,,,,,
dlpfc,10,1,25,0,1,6,10,2,68,60,57,54,68,57,72,40,62,78,64,73,2,2,1,1,2,2,1,1,1,1,,,,,1.1752366,0.9028471,0.5486165,0.654973,0.5898968,0.5898968
dlpfc,10,1,25,0,1,7,5,1,60,68,60,71,50,49,73,,,,,,1,2,1,1,2,,,,,,,,,,0.4460725,,,,,
dlpfc,10,1,25,0,1,8,5,3,40,44,37,45,36,35,49,,,,,,1,2,2,2,1,,,,,,,,,,0.3791622,,,,,
dlpfc,10,1,25,0,1,9,5,3,40,60,40,58,31,72,71,,,,,,2,2,1,2,2,,,,,,,,,,0.5419719,,,,,
dlpfc,10,1,25,0,1,10,5,2,28,40,50,26,25,37,36,,,,,,2,1,1,2,2,,,,,,,,,,0.4443986,,,,,
dlpfc,10,1,25,0,1,11,10,3,60,72,54,79,64,74,68,85,73,63,62,76,1,2,2,2,2,2,2,2,1,2,,,,,0.3670322,0.403456,0.3276143,0.2916005,0.192032,0.192032
dlpfc,10,1,25,0,1,12,5,3,60,64,60,59,70,76,64,,,,,,1,2,2,2,2,,,,,,,,,,0.9158572,,,,,
dlpfc,10,1,25,0,1,13,5,2,40,44,50,41,39,53,37,,,,,,2,2,1,1,2,,,,,,,,,,0.8389843,,,,,
dlpfc,10,1,25,0,1,14,10,2,40,44,38,53,41,52,42,27,40,54,37,31,1,1,2,2,2,2,1,1,1,1,,,,,0.3108087,0.2610551,0.3570423,0.5267452,0.2837464,0.2837464
dlpfc,10,1,25,0,1,15,5,3,40,60,49,66,70,58,72,,,,,,1,2,2,2,2,,,,,,,,,,0.4759526,,,,,
dlpfc,10,1,25,0,1,16,5,1,60,48,56,57,55,29,59,,,,,,1,1,1,2,1,,,,,,,,,,0.5587085,,,,,
dlpfc,10,1,25,0,1,17,5,1,40,20,55,27,54,55,35,,,,,,1,2,1,1,1,,,,,,,,,,0.2516032,,,,,
dlpfc,10,1,25,0,1,18,10,3,52,60,57,57,79,60,51,56,54,35,56,60,2,1,2,2,2,2,1,1,2,2,,,,,0.2368922,0.1095222,0.5486618,0.4197639,0.1668461,0.1668461
dlpfc,10,1,25,0,1,19,10,2,40,36,40,36,37,37,26,33,40,32,45,40,2,2,1,1,2,2,1,1,1,2,,,,,0.516348,0.383758182,0.5262052,0.4184796,0.4172151,0.32581957
dlpfc,10,1,25,0,1,20,5,3,60,56,63,52,48,66,58,,,,,,1,2,2,2,1,,,,,,,,,,0.235707,,,,,
dlpfc,10,1,25,0,1,21,10,1,60,48,52,63,54,41,33,53,67,78,46,67,1,1,1,2,2,1,1,1,1,1,,,,,0.6283393,0.2008508,0.0960768,0.1278301,0.312840731,0.343613802
dlpfc,10,1,25,0,1,22,10,2,40,60,46,71,37,40,49,66,60,70,56,54,2,2,1,1,1,2,2,2,2,2,,,,,0.1978272,0.3536007,0.3402522,0.2295532,0.2443025,0.2443025
dlpfc,10,1,25,0,1,23,10,1,64,60,80,61,51,66,64,69,68,58,47,65,1,1,1,2,1,2,1,2,2,1,,,,,0.2453576,0.2221528,0.2279138,0.3399377,0.2420701,0.2420701
dlpfc,10,1,25,0,1,24,5,2,20,40,38,17,27,35,40,,,,,,2,1,1,2,2,,,,,,,,,,0.4692571,,,,,
dlpfc,10,1,25,0,1,25,10,2,36,40,37,43,35,49,59,43,32,48,34,36,1,2,1,2,2,1,1,2,2,1,,,,,0.2892857,0.2846421,0.0695884,0.174211,0.2212714,0.2212714
dlpfc,10,1,25,0,1,26,10,1,68,60,63,58,78,70,71,64,77,67,49,77,1,2,1,1,1,2,1,1,2,1,,,,,0.3549829,0.1023982,0.0781539,0.1252007,0.082408,0.082408
dlpfc,10,1,25,0,1,27,5,2,64,60,69,62,63,61,77,,,,,,2,1,2,1,2,,,,,,,,,,0.4867623,,,,,
dlpfc,10,1,25,0,1,28,10,2,60,40,47,31,52,49,35,41,69,63,31,58,1,2,1,2,2,2,1,1,2,1,,,,,0.4477557,0.1530117,0.5255873,0.9393567,0.261735431,0.325605827
dlpfc,10,1,25,0,1,29,10,2,36,40,51,29,39,35,40,48,41,30,47,31,2,1,1,2,2,2,1,1,2,2,,,,,0.4463009,0.2458684,0.3228138,0.3186066,0.3229455,0.3229455
dlpfc,10,1,25,0,1,30,10,1,36,40,24,36,39,44,33,47,39,39,48,50,2,1,1,1,1,2,2,1,2,2,,,,,0.2529689,0.4159036,0.1880373,0.0850228,0.2019177,0.2019177
dlpfc,10,1,25,0,1,31,5,3,36,40,44,30,27,49,46,,,,,,2,1,2,2,2,,,,,,,,,,0.4631212,,,,,
dlpfc,10,1,25,0,1,32,5,2,52,60,54,54,68,67,61,,,,,,1,2,2,1,2,,,,,,,,,,0.4179217,,,,,
dlpfc,10,1,25,0,1,33,10,2,40,52,48,24,41,47,55,61,45,56,57,58,2,1,1,2,2,2,1,2,2,2,,,,,0.2868956,0.1124048,0.1967681,0.0816217,0.4135473,0.4135473
